id,Community_Name,COMM_CODE,Year,Avg_Resident_Count,Total_Crime_Count,Sectors,Distinct_Longitudes,Distinct_Latitudes,crime_rate,ln_crime_rate,SHORTEST_DISTANCE_TO_LRT_METERS,SHORTEST_DISTANCE_TO_POLICE_METERS,age_75_plus_percentage,male_percentage,TotalPermits,calgary_cer_unemployment_rate,canada_unemployment_rate,calgary_cma_average_hourly_wage_rate,CLASS_CODE,COMM_NAME,property_assessment_median
11,BEL-AIRE,BEL,2018,390,12,CENTRE,-114.0889343,50.99944255,3076.923077,8.031685376,1644.597168,1201.698486,7.61,48.29,11,0.076,0.0595,32.05,1,BEL-AIRE,1640000
12,BELTLINE,BLN,2018,25129,1697,CENTRE,-114.0551861,51.03743796,6753.153727,8.817764894,252.4011383,1374.914185,2.61,51.94,231,0.076,0.0595,32.05,1,BELTLINE,197500
13,BANFF TRAIL,BNF,2018,4153,161,CENTRE,-114.1151284,51.07421633,3876.715627,8.262743586,364.3628235,2400.795898,3.38,54.38,81,0.076,0.0595,32.05,1,"""BANFF TRAIL""",632500
14,BANKVIEW,BNK,2018,5256,348,CENTRE,-114.1004832,51.03412753,6621.004566,8.798002385,1195.243042,3557.627686,1.43,51.27,55,0.076,0.0595,32.05,1,BANKVIEW,246000
15,BOWNESS,BOW,2018,11150,494,NORTHWEST,-114.1883885,51.08334629,4430.493274,8.396266205,2947.017822,5656.612305,5.86,49.83,140,0.076,0.0595,32.05,1,BOWNESS,384500
16,BRAESIDE,BRA,2018,5805,86,SOUTH,-114.1063659,50.95600269,1481.481481,7.300797867,2238.37915,5220.638672,5.86,49.13,49,0.076,0.0595,32.05,1,BRAESIDE,389000
17,BRIDGELAND/RIVERSIDE,BRD,2018,6835,324,CENTRE,-114.0350798,51.05055069,4740.307242,8.463857232,405.9263611,2232.391357,8.45,47.93,78,0.076,0.0595,32.05,1,BRIDGELAND/RIVERSIDE,309500
18,BRENTWOOD,BRE,2018,7267,237,NORTHWEST,-114.1359192,51.09606554,3261.318288,8.089886775,1067.33728,2672.572266,7.76,50.28,90,0.076,0.0595,32.05,1,BRENTWOOD,505500
19,BRIDLEWOOD,BRI,2018,12641,142,SOUTH,-114.1102262,50.89925717,1123.328851,7.024051744,2891.437012,3660.810303,2.04,49.22,59,0.076,0.0595,32.05,1,BRIDLEWOOD,379000
20,BRITANNIA,BRT,2018,690,38,CENTRE,-114.0862774,51.012644,5507.246377,8.613820027,1826.200806,1942.412964,6.13,49.64,16,0.076,0.0595,32.05,1,BRITANNIA,1560000
21,BELVEDERE,BVD,2018,41,8,EAST,-113.904983,51.03782747,19512.19512,9.87879494,5832.635742,6402.229004, , ,5,0.076,0.0595,32.05,1,BELVEDERE,590500
22,BAYVIEW,BYV,2018,751,19,SOUTH,-114.1139643,50.97463476,2529.960053,7.835958792,2804.05835,3896.888916,8.26,47.8,13,0.076,0.0595,32.05,1,BAYVIEW,1000000
23,CAMBRIAN HEIGHTS,CAM,2018,2036,74,CENTRE,-114.089379,51.08433917,3634.577603,8.198248181,2403.767578,966.4053345,6.64,50.39,45,0.076,0.0595,32.05,1,"""CAMBRIAN HEIGHTS""",580500
24,CANYON MEADOWS,CAN,2018,7624,139,SOUTH,-114.0820063,50.94095721,1823.189927,7.508342953,1083.845825,4238.694336,5.6,50.22,46,0.076,0.0595,32.05,1,"""CANYON MEADOWS""",432000
25,CAPITOL HILL,CAP,2018,4744,225,CENTRE,-114.0946312,51.07266528,4742.833052,8.464389926,1054.197754,2118.908447,3.7,52.74,111,0.076,0.0595,32.05,1,"""CAPITOL HILL""",568000
26,CARRINGTON,CAR,2018,572,7,NORTH,-114.0887654,51.18568826,1223.776224,7.109696623,10042.7832,6946.60498,1.24,49.82,281,0.076,0.0595,32.05,1,CARRINGTON,398250
27,CASTLERIDGE,CAS,2018,6127,127,NORTHEAST,-113.9610297,51.10525413,2072.792558,7.636652039,1112.139038,1016.384155,2.36,51.01,22,0.076,0.0595,32.05,1,CASTLERIDGE,322000
28,CEDARBRAE,CED,2018,6094,77,SOUTH,-114.1296216,50.95819945,1263.537906,7.141670927,3783.674805,6046.554688,5.18,49.08,22,0.076,0.0595,32.05,1,CEDARBRAE,370500
29,COUGAR RIDGE,CGR,2018,6997,83,WEST,-114.2090798,51.07188085,1186.222667,7.078529308,4094.203369,5509.40332,1.07,49.76,42,0.076,0.0595,32.05,1,"""COUGAR RIDGE""",564750
30,CHAPARRAL,CHA,2018,12654,151,SOUTH,-114.0256688,50.88467246,1193.298562,7.084476652,3436.301025,3411.560303,2.45,49.73,55,0.076,0.0595,32.05,1,CHAPARRAL,473000
31,CHINOOK PARK,CHK,2018,1662,35,SOUTH,-114.088994,50.98322809,2105.89651,7.652496551,1184.178467,1997.937256,10.88,48.64,22,0.076,0.0595,32.05,1,"""CHINOOK PARK""",703250
32,CHINATOWN,CHN,2018,2471,58,CENTRE,-114.0655219,51.05282359,2347.227843,7.76099027,487.4941101,2796.670166,20.07,48.96,24,0.076,0.0595,32.05,1,CHINATOWN,286750
33,CHRISTIE PARK,CHR,2018,2128,52,WEST,-114.1760176,51.04079953,2443.609023,7.801231333,557.4190674,1745.203369,15.46,47.43,15,0.076,0.0595,32.05,1,"""CHRISTIE PARK""",671000
34,COUNTRY HILLS VILLAGE,CHV,2018,2597,91,NORTH,-114.0613954,51.15820385,3504.043127,8.16167276,7926.130371,4360.632324,15.72,45.38,20,0.076,0.0595,32.05,1,"""COUNTRY HILLS VILLAGE""",199500
35,CHARLESWOOD,CHW,2018,3569,84,NORTHWEST,-114.1122123,51.09008805,2353.600448,7.76370154,617.2336426,1784.659424,7.73,52.36,51,0.076,0.0595,32.05,1,CHARLESWOOD,592000
36,CITADEL,CIT,2018,10077,85,NORTHWEST,-114.1839369,51.14453876,843.5050114,6.737565843,2922.041016,8540.134766,2.46,49.38,48,0.076,0.0595,32.05,1,CITADEL,445000
37,CLIFF BUNGALOW,CLI,2018,1895,178,CENTRE,-114.0749017,51.03393319,9393.139842,9.147734898,1137.979126,2550.943848,2.41,49.65,19,0.076,0.0595,32.05,1,"""CLIFF BUNGALOW""",271250
38,CORNERSTONE,CNS,2018,2648,17,NORTHEAST,-113.9305705,51.15735997,641.9939577,6.464578892,3727.137939,3785.679199,0.3,53.49,380,0.076,0.0595,32.05,1,CORNERSTONE,293500
39,COACH HILL,COA,2018,3244,61,WEST,-114.1829796,51.05838583,1880.394575,7.539236914,2325.022461,3148.549805,6.56,46.81,19,0.076,0.0595,32.05,1,"""COACH HILL""",373000
40,COLLINGWOOD,COL,2018,2249,89,NORTHWEST,-114.1024036,51.08350991,3957.314362,8.283320883,1509.693604,963.7573853,7.71,49.98,45,0.076,0.0595,32.05,1,COLLINGWOOD,582000
41,CORAL SPRINGS,COR,2018,5801,85,NORTHEAST,-113.9269485,51.10335277,1465.26461,7.289791126,2898.006104,2651.960449,4.54,51.11,23,0.076,0.0595,32.05,1,"""CORAL SPRINGS""",476500
42,COUNTRY HILLS,COU,2018,3767,47,NORTH,-114.0798938,51.14377568,1247.677197,7.129038859,7206.637207,4663.444824,4.95,49.03,16,0.076,0.0595,32.05,1,"""COUNTRY HILLS""",371000
43,COVENTRY HILLS,COV,2018,17667,198,NORTH,-114.0531434,51.16490633,1120.733571,7.021738724,7931.32959,4451.202148,1.29,50.22,94,0.076,0.0595,32.05,1,"""COVENTRY HILLS""",401000
44,COPPERFIELD,CPF,2018,13823,160,SOUTHEAST,-113.9294598,50.91781279,1157.491138,7.05401013,9926.171875,9193.566406,0.72,50.44,139,0.076,0.0595,32.05,1,COPPERFIELD,359000
45,CRANSTON,CRA,2018,19884,157,SOUTHEAST,-113.9799915,50.87820239,789.5795615,6.671500603,6661.673828,6412.44043,1.75,49.74,289,0.076,0.0595,32.05,1,CRANSTON,441500
46,CRESCENT HEIGHTS,CRE,2018,6620,351,CENTRE,-114.0616132,51.05949595,5302.114804,8.57586104,1445.833496,3585.981689,5.13,50.17,71,0.076,0.0595,32.05,1,"""CRESCENT HEIGHTS""",332000
47,CRESTMONT,CRM,2018,1690,26,WEST,-114.2690467,51.08370277,1538.461538,7.338538195,5607.623047,9237.425781,1.36,50.3,140,0.076,0.0595,32.05,1,CRESTMONT,602750
48,CITYSCAPE,CSC,2018,3104,37,NORTHEAST,-113.961258,51.14703156,1192.010309,7.083396496,2475.445557,2689.75293,1.1,50.05,157,0.076,0.0595,32.05,1,CITYSCAPE,353000
49,DALHOUSIE,DAL,2018,8940,174,NORTHWEST,-114.1581554,51.10940994,1946.308725,7.573689896,701.0775757,4828.660156,8.07,49.58,51,0.076,0.0595,32.05,1,DALHOUSIE,445250
50,DOUGLASDALE/GLEN,DDG,2018,12881,180,SOUTHEAST,-114.0119081,50.94844437,1397.407034,7.242373679,4288.687012,5705.290039,4.25,50.25,65,0.076,0.0595,32.05,1,DOUGLASDALE/GLEN,461500
51,DIAMOND COVE,DIA,2018,690,9,SOUTH,-114.0226559,50.94621275,1304.347826,7.173458445,3495.330322,5085.394043,5.07,51.74,2,0.076,0.0595,32.05,1,"""DIAMOND COVE""",546500
52,DISCOVERY RIDGE,DIS,2018,4280,50,WEST,-114.2168722,51.01549975,1168.224299,7.063240182,3190.341797,5205.297363,4.05,49.15,36,0.076,0.0595,32.05,1,"""DISCOVERY RIDGE""",343000
53,DOWNTOWN COMMERCIAL CORE,DNC,2018,8683,1148,CENTRE,-114.0695937,51.04727444,13221.2369,9.489579672,76.88247681,2840.02417,4.13,50.65,578,0.076,0.0595,32.05,1,"""DOWNTOWN COMMERCIAL CORE""",120000
54,DOWNTOWN EAST VILLAGE,DNE,2018,3893,133,CENTRE,-114.0508479,51.04709033,3416.388389,8.136339246,438.7055054,2013.547852,5.28,59.29,28,0.076,0.0595,32.05,1,"""DOWNTOWN EAST VILLAGE""",277500
55,DOWNTOWN WEST END,DNW,2018,2785,98,CENTRE,-114.0877794,51.04796914,3518.850987,8.165889791,89.81443787,3931.493652,3.74,52.27,25,0.076,0.0595,32.05,1,"""DOWNTOWN WEST END""",228500
56,DOVER,DOV,2018,10351,375,EAST,-113.993054,51.02256772,3622.838373,8.195013079,2719.459229,3321.821289,5.56,51.83,42,0.076,0.0595,32.05,1,DOVER,278500
57,DEER RIDGE,DRG,2018,3973,79,SOUTH,-114.020234,50.92657387,1988.421847,7.595096562,3625.266357,3519.419922,5.05,48.01,23,0.076,0.0595,32.05,1,"""DEER RIDGE""",363500
58,DEER RUN,DRN,2018,5065,75,SOUTH,-114.0090877,50.92540672,1480.750247,7.300304162,4412.036133,4090.70459,3.9,50.56,24,0.076,0.0595,32.05,1,"""DEER RUN""",403000
59,EAGLE RIDGE,EAG,2018,302,38,SOUTH,-114.0967932,50.98874427,12582.78146,9.440084607,1921.300781,2367.987305,13.61,53.06,4,0.076,0.0595,32.05,1,"""EAGLE RIDGE""",1480000
60,EAU CLAIRE,EAU,2018,2030,123,CENTRE,-114.0728218,51.05360699,6059.1133,8.709318748,752.986145,3492.414795,7.65,50.2,81,0.076,0.0595,32.05,1,"""EAU CLAIRE""",34000
61,EDGEMONT,EDG,2018,15395,179,NORTHWEST,-114.1439532,51.12458785,1162.715167,7.05851321,2635.43335,5002.614746,6.3,49.04,70,0.076,0.0595,32.05,1,EDGEMONT,568500
62,ELBOW PARK,EPK,2018,3342,91,CENTRE,-114.0838053,51.02134304,2722.920407,7.909460262,1624.701782,2760.192627,5.08,50.39,55,0.076,0.0595,32.05,1,"""ELBOW PARK""",1280000
63,ERIN WOODS,ERI,2018,7049,147,EAST,-113.9676688,51.02097628,2085.402185,7.64271701,3476.33374,4828.495605,1.91,50.85,24,0.076,0.0595,32.05,1,"""ERIN WOODS""",302000
64,ERLTON,ERL,2018,1270,66,CENTRE,-114.0631465,51.02633379,5196.850394,8.555808028,702.4049072,1767.216919,3.39,51.3,12,0.076,0.0595,32.05,1,ERLTON,339000
65,EVERGREEN,EVE,2018,21500,159,SOUTH,-114.1156756,50.91871688,739.5348837,6.606021453,3027.700928,4161.682617,3.84,49.02,95,0.076,0.0595,32.05,1,EVERGREEN,442500
66,EVANSTON,EVN,2018,17685,162,NORTH,-114.1124511,51.17108536,916.0305344,6.820049699,8252.856445,8127.725098,2.48,49.48,418,0.076,0.0595,32.05,1,EVANSTON,461000
67,ELBOYA,EYA,2018,1754,76,CENTRE,-114.0736046,51.01299335,4332.95325,8.374004632,994.8292236,1708.476196,4.28,50.97,18,0.076,0.0595,32.05,1,ELBOYA,783500
68,FAIRVIEW,FAI,2018,3646,114,SOUTH,-114.0603609,50.98538212,3126.714207,8.047737958,1234.594849,1596.927368,6.81,50.19,29,0.076,0.0595,32.05,1,FAIRVIEW,412000
69,FALCONRIDGE,FAL,2018,10653,366,NORTHEAST,-113.945375,51.10330638,3435.651929,8.141961977,2125.566406,1864.776245,1.64,51.63,27,0.076,0.0595,32.05,1,FALCONRIDGE,302000
70,FOOTHILLS,FHI,2018,317,260,EAST,-113.9820382,50.99396303,82018.92744,11.31470532,5874.596191,5688.58252,0,95.62,76,0.076,0.0595,32.05,2,"""FOOTHILLS INDUSTRIAL""",2160000
71,FOREST HEIGHTS,FHT,2018,6496,206,EAST,-113.9687579,51.04924315,3171.182266,8.061859752,1364.313721,1983.881836,5.53,52.23,18,0.076,0.0595,32.05,1,"""FOREST HEIGHTS""",292500
72,FOREST LAWN INDUSTRIAL,FLI,2018,123,84,EAST,-113.9569699,51.02709478,68292.68293,11.13155791,3438.309082,4486.468262,6.06,79.8,9,0.076,0.0595,32.05,2,"""FOREST LAWN -  INDUSTRIAL""",1007000
73,FOREST LAWN,FLN,2018,7814,528,EAST,-113.9700019,51.03784805,6757.102636,8.818349473,1992.810547,3013.663574,3.95,54.39,54,0.076,0.0595,32.05,1,"""FOREST LAWN""",313500
74,GARRISON GREEN,GAG,2018,2060,29,WEST,-114.1245263,51.00305515,1407.76699,7.249760033,4166.51123,3723.780029,8.41,45.07,10,0.076,0.0595,32.05,1,"""GARRISON GREEN""",288000
75,GARRISON WOODS,GAW,2018,3116,11,CENTRE,-114.1136145,51.01717823,353.0166881,5.866515331,2838.947754,3523.008057,11.51,44.68,35,0.076,0.0595,32.05,1,"""GARRISON WOODS""",429000
76,GLENBROOK,GBK,2018,7442,143,WEST,-114.1526948,51.02419405,1921.526471,7.560875186,1532.758667,1548.652344,5.48,47.96,85,0.076,0.0595,32.05,1,GLENBROOK,434500
77,GLENDALE,GDL,2018,2765,73,WEST,-114.1527189,51.03337139,2640.144665,7.878588992,520.671875,534.9021606,5.87,49.42,38,0.076,0.0595,32.05,1,GLENDALE,569500
78,GLAMORGAN,GLA,2018,6522,137,WEST,-114.1532276,51.01552678,2100.582643,7.649970034,2497.189453,2516.389404,6.8,48.85,35,0.076,0.0595,32.05,1,GLAMORGAN,413500
79,GREENWOOD/GREENBRIAR,GRE,2018,896,9,NORTHWEST,-114.2229707,51.08986537,1004.464286,6.912209629,3792.854248,7610.522461,7.74,49.89,9,0.076,0.0595,32.05,1,GREENWOOD/GREENBRIAR,391000
80,GREENVIEW INDUSTRIAL PARK,GRI,2018,225,183,CENTRE,-114.0490587,51.0865182,81333.33333,11.30631122,4209.514648,2698.116455,48.77,36.95,16,0.076,0.0595,32.05,2,"""GREENVIEW INDUSTRIAL PARK""",1010000
81,GREENVIEW,GRV,2018,1906,99,CENTRE,-114.0574699,51.09485614,5194.12382,8.555283231,4245.778809,2425.466797,4.11,51.16,5,0.076,0.0595,32.05,1,GREENVIEW,207000
82,HAMPTONS,HAM,2018,7382,78,NORTHWEST,-114.1466842,51.14509284,1056.624221,6.962834408,4749.137695,6948.618652,6.22,49.41,25,0.076,0.0595,32.05,1,HAMPTONS,675000
83,HARVEST HILLS,HAR,2018,7420,116,NORTH,-114.052778,51.14767759,1563.342318,7.35458132,6795.574707,3226.790283,4.07,49.89,64,0.076,0.0595,32.05,1,"""HARVEST HILLS""",417000
84,HAWKWOOD,HAW,2018,9248,116,NORTHWEST,-114.1756154,51.1309781,1254.32526,7.134353065,2358.008057,7123.027344,5.65,49.8,37,0.076,0.0595,32.05,1,HAWKWOOD,484500
85,HAYSBORO,HAY,2018,7080,236,SOUTH,-114.0833402,50.97221484,3333.333333,8.111728083,902.6192017,2938.588379,6.28,49.51,97,0.076,0.0595,32.05,1,HAYSBORO,413000
86,HIDDEN VALLEY,HID,2018,11566,143,NORTH,-114.1196092,51.15193708,1236.3825,7.119945057,6115.583984,6910.256348,2.27,50.61,45,0.076,0.0595,32.05,1,"""HIDDEN VALLEY""",428500
87,HILLHURST,HIL,2018,6558,322,CENTRE,-114.093646,51.05727753,4910.033547,8.499036053,657.6994629,3831.011963,2.08,49.41,94,0.076,0.0595,32.05,1,HILLHURST,481500
88,HIGHWOOD,HIW,2018,2258,106,CENTRE,-114.0798911,51.09235942,4694.419841,8.454129814,3303.677979,1056.835693,5.97,49.84,66,0.076,0.0595,32.05,1,HIGHWOOD,490000
89,HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,2018,2798,144,CENTRE,-114.1057298,51.06317954,5146.533238,8.546078609,254.5234528,3260.248779,11.04,47.62,40,0.076,0.0595,32.05,1,"""HOUNSFIELD HEIGHTS/BRIAR HILL""",573000
90,HIGHLAND PARK,HPK,2018,3838,179,CENTRE,-114.0620558,51.08801818,4663.887441,8.447604594,3440.4104,2336.817627,4.49,51.83,87,0.076,0.0595,32.05,1,"""HIGHLAND PARK""",499000
91,HUNTINGTON HILLS,HUN,2018,13420,409,NORTH,-114.0667094,51.11758229,3047.690015,8.02213921,5673.785156,2219.977783,7.5,49.44,59,0.076,0.0595,32.05,1,"""HUNTINGTON HILLS""",396000
92,INGLEWOOD,ING,2018,4024,169,CENTRE,-114.0191258,51.03414052,4199.801193,8.342792468,1130.679077,1339.703613,3.22,49.46,71,0.076,0.0595,32.05,1,INGLEWOOD,392000
93,KINCORA,KCA,2018,6889,65,NORTH,-114.1328651,51.16026671,943.5331688,6.849631519,6584.911621,8094.856445,1.67,50.29,33,0.076,0.0595,32.05,1,KINCORA,468500
94,KELVIN GROVE,KEL,2018,2305,46,SOUTH,-114.0890283,50.98988114,1995.661605,7.598730906,1687.394409,1476.067383,12.81,45.05,25,0.076,0.0595,32.05,1,"""KELVIN GROVE""",726500
95,KILLARNEY/GLENGARRY,KIL,2018,7685,253,CENTRE,-114.1317313,51.03013196,3292.127521,8.099289298,1014.663025,1558.937134,3.16,49.6,150,0.076,0.0595,32.05,1,KILLARNEY/GLENGARRY,560500
96,KINGSLAND,KIN,2018,4688,213,SOUTH,-114.0773588,50.98697675,4543.515358,8.421456299,1022.686401,1245.683228,4.17,51.04,40,0.076,0.0595,32.05,1,KINGSLAND,439000
97,LEGACY,LEG,2018,6420,103,SOUTH,-114.0059978,50.8576144,1604.361371,7.380481057,6388.015137,6627.098145,1.15,48.77,324,0.076,0.0595,32.05,1,LEGACY,249000
98,LAKE BONAVISTA,LKB,2018,10293,236,SOUTH,-114.0513367,50.93980339,2292.820363,7.737537938,1363.651123,3716.171387,10.71,49.93,108,0.076,0.0595,32.05,1,"""LAKE BONAVISTA""",549500
99,LAKEVIEW,LKV,2018,5355,91,WEST,-114.1296214,50.99957241,1699.346405,7.437998989,4476.213867,4038.185547,9.82,48.84,91,0.076,0.0595,32.05,1,LAKEVIEW,587000
100,LOWER MOUNT ROYAL,LMR,2018,3457,224,CENTRE,-114.0864994,51.0365032,6479.606595,8.776415077,1182.459839,3399.200195,2.58,51.61,27,0.076,0.0595,32.05,1,"""LOWER MOUNT ROYAL""",258500
101,LINCOLN PARK,LPK,2018,2617,59,WEST,-114.1299919,51.01027374,2254.489874,7.720679006,3356.365967,3438.806152,10.48,44.63,24,0.076,0.0595,32.05,1,"""LINCOLN PARK""",200000
102,MACEWAN GLEN,MAC,2018,4754,55,NORTH,-114.1152135,51.13771904,1156.920488,7.053517002,4965.489746,5306.121582,4.49,49.35,21,0.076,0.0595,32.05,1,MACEWAN,418250
103,MAYFAIR,MAF,2018,432,8,CENTRE,-114.0889557,50.99581204,1851.851852,7.523941418,1623.178711,1204.078369,7.87,50.69,4,0.076,0.0595,32.05,1,MAYFAIR,1070000
104,MAHOGANY,MAH,2018,11784,108,SOUTHEAST,-113.9245125,50.89585538,916.496945,6.820558734,10137.93457,9534.296875,1.53,49.49,619,0.076,0.0595,32.05,1,MAHOGANY,467000
105,MAYLAND HEIGHTS,MAL,2018,5961,236,NORTHEAST,-114.0133147,51.06083346,3959.067271,8.283763739,1700.504395,1798.729858,6.75,50.27,49,0.076,0.0595,32.05,1,"""MAYLAND HEIGHTS""",425500
106,MANCHESTER,MAN,2018,1025,104,CENTRE,-114.0666538,51.00624268,10146.34146,9.224868473,1050.203735,1024.354492,2.93,59.02,9,0.076,0.0595,32.05,1,MANCHESTER,241000
107,MCKENZIE LAKE,MCK,2018,13406,137,SOUTHEAST,-113.9881813,50.91487825,1021.930479,6.929448744,5796.103027,5074.607422,2.56,50.29,63,0.076,0.0595,32.05,1,"""MCKENZIE LAKE""",484000
108,MCKENZIE TOWNE,MCT,2018,18283,217,SOUTHEAST,-113.9614787,50.91714499,1186.89493,7.079095873,7682.398926,6961.385742,2.93,49.23,119,0.076,0.0595,32.05,1,"""MCKENZIE TOWNE""",337000
109,MEADOWLARK PARK,MEA,2018,644,149,CENTRE,-114.0773517,50.99785784,23136.64596,10.04917304,816.1914063,375.4284058,5.8,50.63,60,0.076,0.0595,32.05,1,"""MEADOWLARK PARK""",634750
110,MIDNAPORE,MID,2018,7270,126,SOUTH,-114.057604,50.91559355,1733.149931,7.457695801,1104.305054,833.2516479,9.59,47.68,47,0.076,0.0595,32.05,1,MIDNAPORE,383500
111,MISSION,MIS,2018,4598,272,CENTRE,-114.0680826,51.03315776,5915.615485,8.685350826,529.6557617,1924.647461,6.16,47.93,32,0.076,0.0595,32.05,1,MISSION,225500
112,MILLRISE,MLR,2018,6900,91,SOUTH,-114.0849037,50.91704529,1318.84058,7.184508281,1073.380859,2121.651611,5.63,47.96,32,0.076,0.0595,32.05,1,MILLRISE,354000
113,MONTGOMERY,MON,2018,4515,207,NORTHWEST,-114.1622482,51.07107614,4584.717608,8.430483792,2770.517822,3741.958252,4.9,49.17,141,0.076,0.0595,32.05,1,MONTGOMERY,463250
114,MOUNT PLEASANT,MOP,2018,5889,262,CENTRE,-114.07603,51.07423791,4448.972661,8.400428486,1601.459473,2325.557373,2.89,51.39,143,0.076,0.0595,32.05,1,"""MOUNT PLEASANT""",618500
115,MONTEREY PARK,MOR,2018,10372,172,NORTHEAST,-113.926851,51.08145439,1658.310837,7.413554795,3865.305908,3814.747314,5.15,50.01,48,0.076,0.0595,32.05,1,"""MONTEREY PARK""",382500
116,MARLBOROUGH PARK,MPK,2018,8523,303,NORTHEAST,-113.9467171,51.0596885,3555.086237,8.1761346,2450.390137,2882.638428,4.1,51.58,30,0.076,0.0595,32.05,1,"""MARLBOROUGH PARK""",335500
117,MAPLE RIDGE,MPL,2018,1916,58,SOUTH,-114.034689,50.95763758,3027.139875,8.015373517,2814.407227,5160.57373,11.61,49.95,22,0.076,0.0595,32.05,1,"""MAPLE RIDGE""",507500
118,MARLBOROUGH,MRL,2018,9162,430,NORTHEAST,-113.9699877,51.05954228,4693.298406,8.453890899,829.4334106,1282.852783,5.52,52.58,33,0.076,0.0595,32.05,1,MARLBOROUGH,344500
119,MARTINDALE,MRT,2018,14245,329,NORTHEAST,-113.9583871,51.11791373,2309.58231,7.744821969,664.4563599,1212.288574,1.36,52.52,101,0.076,0.0595,32.05,1,MARTINDALE,348000
120,NEW BRIGHTON,NEB,2018,13103,126,SOUTHEAST,-113.9452495,50.92206402,961.6118446,6.868610881,8864.192383,8181.371094,0.72,50.36,100,0.076,0.0595,32.05,1,"""NEW BRIGHTON""",441500
121,NORTH GLENMORE PARK,NGM,2018,2391,57,WEST,-114.1122561,51.00142837,2383.939774,7.776509765,3290.15918,2847.741943,8.04,50.72,69,0.076,0.0595,32.05,1,"""NORTH GLENMORE PARK""",636500
122,NORTH HAVEN UPPER,NHU,2018,599,11,NORTH,-114.0853543,51.10440179,1836.39399,7.51555914,3596.265625,1393.364502,8.91,51.93,1,0.076,0.0595,32.05,1,"""NORTH HAVEN UPPER""",512000
123,NORTH HAVEN,NHV,2018,2359,48,NORTH,-114.0894206,51.09594155,2034.760492,7.618133396,3088.384766,766.4851685,10.75,49.83,20,0.076,0.0595,32.05,1,"""NORTH HAVEN""",491000
124,NOLAN HILL,NOL,2018,7505,63,NORTH,-114.1663172,51.17529369,839.4403731,6.732735447,6593.986816,10471.89355,0.64,49.85,227,0.076,0.0595,32.05,1,"""NOLAN HILL""",463000
125,OAKRIDGE,OAK,2018,5690,83,SOUTH,-114.1296138,50.9696628,1458.699473,7.285300546,3777.552979,5089.601563,8.71,49.31,46,0.076,0.0595,32.05,1,OAKRIDGE,507000
126,OGDEN,OGD,2018,8576,233,SOUTHEAST,-114.0124423,50.99187834,2716.884328,7.907241035,3861.442383,4304.75,5.03,53.66,68,0.076,0.0595,32.05,1,OGDEN,337000
